req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_156,600,84,0.04298973083496094,0.042990922927856445,4.70254111289978,4.659550189971924,4.659551382064819,3.055171489715576,1.1920928955078125e-06,True,
req_141,385,109,0.04101133346557617,0.04101419448852539,4.764819383621216,4.72380518913269,4.72380805015564,2.550884485244751,2.86102294921875e-06,True,
req_114,580,140,0.037354469299316406,0.037355899810791016,4.783900022506714,4.746544122695923,4.7465455532073975,1.9285314083099365,1.430511474609375e-06,True,
req_125,475,135,0.038883209228515625,0.03888440132141113,4.79320216178894,4.754317760467529,4.754318952560425,2.0617849826812744,1.1920928955078125e-06,True,
req_144,402,98,0.04143500328063965,0.041436195373535156,4.878997325897217,4.837561130523682,4.837562322616577,2.7173826694488525,1.1920928955078125e-06,True,
req_115,702,138,0.037487030029296875,0.037488460540771484,4.881645679473877,4.8441572189331055,4.84415864944458,1.900529146194458,1.430511474609375e-06,True,
req_131,370,127,0.039681196212768555,0.039682626724243164,4.904816150665283,4.86513352394104,4.865134954452515,2.274332284927368,1.430511474609375e-06,True,
req_108,373,153,0.03651857376098633,0.03652048110961914,4.915887117385864,4.879366636276245,4.879368543624878,1.6694810390472412,1.9073486328125e-06,True,
req_107,643,161,0.03577303886413574,0.03577399253845215,4.938212633132935,4.902438640594482,4.902439594268799,1.669551134109497,9.5367431640625e-07,True,
req_161,580,80,0.043679237365722656,0.04368019104003906,5.047770977020264,5.004090785980225,5.004091739654541,3.2882604598999023,9.5367431640625e-07,True,
req_164,302,85,0.0440673828125,0.044068336486816406,5.058961629867554,5.014893293380737,5.014894247055054,3.2985990047454834,9.5367431640625e-07,True,
req_137,616,127,0.04049420356750488,0.04049515724182129,5.101356267929077,5.060861110687256,5.060862064361572,2.47148060798645,9.5367431640625e-07,True,
req_187,540,73,0.047151803970336914,0.04715323448181152,5.186585903167725,5.139432668685913,5.139434099197388,3.752185821533203,1.430511474609375e-06,True,
req_177,454,78,0.04576420783996582,0.045766353607177734,5.1955885887146,5.149822235107422,5.149824380874634,3.5597851276397705,2.1457672119140625e-06,True,
req_138,442,126,0.04062294960021973,0.04062390327453613,5.208236932754517,5.1676130294799805,5.167613983154297,2.4992291927337646,9.5367431640625e-07,True,
req_124,373,148,0.038752079010009766,0.03875303268432617,5.222154378890991,5.183401346206665,5.1834022998809814,2.093074083328247,9.5367431640625e-07,True,
req_103,516,183,0.035216331481933594,0.0352177619934082,5.247457504272461,5.212239742279053,5.212241172790527,1.5395996570587158,1.430511474609375e-06,True,
req_102,417,177,0.03507637977600098,0.035077571868896484,5.271780490875244,5.236702919006348,5.236704111099243,1.555478572845459,1.1920928955078125e-06,True,
req_184,388,77,0.04675865173339844,0.046759843826293945,5.319238901138306,5.272479057312012,5.272480249404907,3.741880416870117,1.1920928955078125e-06,True,
req_194,430,70,0.048091888427734375,0.04809284210205078,5.333510637283325,5.285417795181274,5.285418748855591,3.9070053100585938,9.5367431640625e-07,True,
req_110,404,168,0.036805152893066406,0.036806583404541016,5.346500635147095,5.309694051742554,5.309695482254028,1.7703649997711182,1.430511474609375e-06,True,
req_201,299,67,0.04899096488952637,0.04899191856384277,5.36737322807312,5.318381309509277,5.318382263183594,4.069222450256348,9.5367431640625e-07,True,
req_101,582,188,0.03490757942199707,0.03490900993347168,5.369430303573608,5.334521293640137,5.334522724151611,1.536259412765503,1.430511474609375e-06,True,
req_139,754,140,0.04074525833129883,0.040746450424194336,5.441056251525879,5.400309801101685,5.40031099319458,2.5479094982147217,1.1920928955078125e-06,True,
req_202,339,67,0.04911637306213379,0.0491175651550293,5.449762582778931,5.400645017623901,5.400646209716797,4.064775228500366,1.1920928955078125e-06,True,
req_190,304,73,0.0475311279296875,0.04753232002258301,5.451481342315674,5.403949022293091,5.403950214385986,3.9031360149383545,1.1920928955078125e-06,True,
req_123,312,168,0.03862309455871582,0.03862428665161133,5.514111042022705,5.475486755371094,5.475487947463989,2.061990737915039,1.1920928955078125e-06,True,
req_162,580,107,0.04380536079406738,0.04380655288696289,5.5146567821502686,5.470850229263306,5.470851421356201,3.298814058303833,1.1920928955078125e-06,True,
req_143,410,136,0.04126906394958496,0.04127049446105957,5.531353712081909,5.49008321762085,5.490084648132324,2.717843532562256,1.430511474609375e-06,True,
req_199,655,81,0.04873037338256836,0.04873347282409668,5.557218551635742,5.5084850788116455,5.508488178253174,3.9508159160614014,3.0994415283203125e-06,True,
req_169,559,101,0.044744014739990234,0.04474496841430664,5.628358364105225,5.583613395690918,5.583614349365234,3.408388137817383,9.5367431640625e-07,True,
req_104,721,191,0.0353541374206543,0.0353550910949707,5.640771865844727,5.605416774749756,5.605417728424072,1.5551261901855469,9.5367431640625e-07,True,
req_173,372,97,0.04525399208068848,0.04525494575500488,5.661422252655029,5.616167306900024,5.616168260574341,3.5602591037750244,9.5367431640625e-07,True,
req_130,470,157,0.039553165435791016,0.03955435752868652,5.668293476104736,5.62873911857605,5.628740310668945,2.2729990482330322,1.1920928955078125e-06,True,
